SeqName: ORFS:ptns	Description hits against Uniprotkb Nematodes	Length	#Hits	e-Value	sim mean										
comp10036_c0_seq2|m.11398	tr:a0a016sei2_9bilaa0a016sei2 ubiquitin carboxyl-terminal hydrolase os=ancylostoma ceylanicum gn= pe=3 sv=1	481	20	0.0E0	74.5%										
comp10037_c0_seq1|m.11399	tr:u6p0d0_haecou6p0d0 receptor protein serine threonine kinase os=haemonchus contortus gn=hcoi_00806900 pe=3 sv=1	639	20	0.0E0	74.4%										
comp10038_c0_seq2|m.11401	tr:u6pe92_haecou6pe92 transcription factor jumonji domain containing protein os=haemonchus contortus gn=hcoi_01550100 pe=4 sv=1	490	20	0.0E0	72.75%										
comp10038_c0_seq2|m.11404	---NA---	123	0	-	-										
comp10040_c0_seq1|m.11406	tr:a0a0d8y2i9_dicvia0a0d8y2i9 flavoprotein os=dictyocaulus viviparus gn=dicviv_02881 pe=4 sv=1	252	20	3.0E-141	82.25%										
comp10040_c0_seq2|m.11407	tr:u6nvi0_haecou6nvi0 flavoprotein domain containing protein os=haemonchus contortus gn=hcoi_00821300 pe=4 sv=1	228	20	2.5E-126	84.35%										
comp10042_c0_seq2|m.11408	---NA---	125	0	-	-										
comp10043_c0_seq1|m.11409	tr:w6ndd3_haecow6ndd3 peptidase s1 s6 domain containing protein os=haemonchus contortus gn=hcoi_01359900 pe=3 sv=1	375	20	2.5E-85	59.4%										
comp10044_c0_seq1|m.11412	---NA---	116	0	-	-										
comp10044_c0_seq1|m.11413	---NA---	110	0	-	-										
comp10044_c0_seq1|m.11410	tr:w2ts02_necamw2ts02 t1 family os=necator americanus gn=necame_01689 pe=4 sv=1	634	20	0.0E0	68%										
comp10044_c0_seq2|m.11414	tr:w2ts02_necamw2ts02 t1 family os=necator americanus gn=necame_01689 pe=4 sv=1	260	20	4.7E-142	76.4%										
comp10044_c0_seq3|m.11415	tr:w2ts02_necamw2ts02 t1 family os=necator americanus gn=necame_01689 pe=4 sv=1	653	20	0.0E0	67.95%										
comp10045_c0_seq1|m.11419	tr:u6q0f9_haecou6q0f9 mrg domain containing protein os=haemonchus contortus gn=hcoi_02170900 pe=4 sv=1	377	20	2.5E-176	69%										
comp10046_c0_seq1|m.11420	tr:u6p4c9_haecou6p4c9 protein os=haemonchus contortus gn=hcoi_00998600 pe=4 sv=1	900	20	0.0E0	82.5%										
comp10046_c0_seq1|m.11421	---NA---	131	0	-	-										
comp10046_c0_seq2|m.11422	tr:u6p4c9_haecou6p4c9 protein os=haemonchus contortus gn=hcoi_00998600 pe=4 sv=1	245	20	3.3E-133	68.45%										
comp10047_c0_seq1|m.11424	tr:a0a0d8xzr1_dicvia0a0d8xzr1 synaptophysin synaptoporin os=dictyocaulus viviparus gn=dicviv_04669 pe=4 sv=1	229	20	3.3E-99	78.7%										
comp10050_c0_seq1|m.11425	tr:a0a0d8y950_dicvia0a0d8y950 guanylate-binding protein os=dictyocaulus viviparus gn=dicviv_01061 pe=4 sv=1	125	20	4.8E-53	77.2%										
comp10051_c0_seq1|m.11427	tr:u6p2h9_haecou6p2h9 protein os=haemonchus contortus gn=hcoi_00659500 pe=4 sv=1	309	20	1.0E-169	88.85%										
comp10052_c0_seq1|m.11431	tr:w2t2q6_necamw2t2q6 nadh-cytochrome b5 reductase os=necator americanus gn=necame_03716 pe=3 sv=1	316	20	3.7E-139	80.9%										
comp10054_c0_seq1|m.11432	tr:a0a0d8xp53_dicvia0a0d8xp53 cs domain protein os=dictyocaulus viviparus gn=dicviv_08383 pe=4 sv=1	223	20	8.4E-97	70.2%										
comp10055_c0_seq2|m.11434	tr:u6nsw5_haecou6nsw5 nin one binding zn-ribbon like domain containing protein os=haemonchus contortus gn=hcoi_00276600 pe=4 sv=1	399	20	0.0E0	70.6%										
comp10056_c0_seq1|m.11435	tr:a0a0d6lyn4_9bilaa0a0d6lyn4 zinc c3hc4 type os=ancylostoma ceylanicum gn=anccey_05692 pe=4 sv=1	737	20	0.0E0	63.5%										
comp10057_c0_seq1|m.11437	tr:a0a0d8xgb4_dicvia0a0d8xgb4 cullin family protein os=dictyocaulus viviparus gn=dicviv_10332 pe=3 sv=1	773	20	0.0E0	81.8%										
comp10059_c0_seq1|m.11439	tr:u6pnk1_haecou6pnk1 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_6326 os=haemonchus contortus gn=hcoi_01696900 pe=4 sv=1	212	19	4.6E-49	57.53%										
comp10059_c0_seq2|m.11440	tr:u6pnk1_haecou6pnk1 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_6326 os=haemonchus contortus gn=hcoi_01696900 pe=4 sv=1	150	19	5.0E-38	58.74%										
comp10059_c0_seq3|m.11441	tr:u6pnk1_haecou6pnk1 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_6326 os=haemonchus contortus gn=hcoi_01696900 pe=4 sv=1	112	18	3.7E-38	65.67%										
comp10060_c0_seq1|m.11442	tr:a0a0d8x7s9_dicvia0a0d8x7s9 bromodomain protein os=dictyocaulus viviparus gn=dicviv_13423 pe=4 sv=1	603	20	0.0E0	72.45%										
comp10061_c0_seq2|m.11443	tr:w2t475_necamw2t475 vma21-like domain protein os=necator americanus gn=necame_11421 pe=4 sv=1	376	20	1.4E-160	70.6%										
comp10062_c0_seq1|m.11444	tr:u6nps2_haecou6nps2 cation efflux protein domain containing protein os=haemonchus contortus gn=hcoi_00559200 pe=4 sv=1	484	20	0.0E0	67.5%										
comp10062_c0_seq2|m.11445	tr:u6pek7_haecou6pek7 cation efflux protein domain containing protein os=haemonchus contortus gn=hcoi_01259300 pe=4 sv=1	473	20	3.7E-180	68.1%										
comp10064_c0_seq1|m.11448	sp:ck5p3_caeelq9u2y2 cdk5rap3-like protein os=caenorhabditis elegans gn= pe=3 sv=1	491	20	0.0E0	76.2%										
comp10065_c0_seq1|m.11450	tr:w2tl94_necamw2tl94 saccharopine dehydrogenase os=necator americanus gn=necame_02067 pe=4 sv=1	936	20	0.0E0	87.05%										
comp10066_c0_seq1|m.11453	---NA---	112	0	-	-										
comp10066_c0_seq1|m.11452	tr:a0a016tae0_9bilaa0a016tae0 sodium hydrogen exchanger os=ancylostoma ceylanicum gn= pe=3 sv=1	230	20	5.0E-95	85.8%										
comp10066_c0_seq2|m.11454	tr:u6pbr4_haecou6pbr4 sodium hydrogen exchanger os=haemonchus contortus gn=hcoi_01536500 pe=3 sv=1	322	20	1.7E-152	80.55%										
comp10066_c0_seq3|m.11456	tr:a0a016ta79_9bilaa0a016ta79 sodium hydrogen exchanger os=ancylostoma ceylanicum gn= pe=3 sv=1	637	20	0.0E0	81.7%										
comp10067_c0_seq2|m.11460	tr:u6pd39_haecou6pd39 ino80 complex subunit e os=haemonchus contortus gn=hcoi_01165700 pe=4 sv=1	877	20	0.0E0	77.05%										
comp10068_c0_seq1|m.11462	tr:w6nfs7_haecow6nfs7 wgs project cavp0000000 strain ise inbred contig hcontortus_contig_pathogens_hcontortus_scaffold_6503 os=haemonchus contortus gn=hcoi_00141100 pe=4 sv=1	693	15	0.0E0	66.93%										
comp10069_c0_seq2|m.11464	tr:c7bvm9_angcac7bvm9 ribosomal protein l19 os=angiostrongylus cantonensis gn=rpl-19 pe=2 sv=1	217	20	1.4E-108	92.85%										
comp10070_c0_seq1|m.11465	tr:u6pma8_haecou6pma8 bacterial fmu eukaryotic nucleolar nol1 nop2p domain containing protein os=haemonchus contortus gn=hcoi_00042700 pe=4 sv=1	691	20	0.0E0	74.05%										
comp10070_c0_seq2|m.11466	tr:u6pma8_haecou6pma8 bacterial fmu eukaryotic nucleolar nol1 nop2p domain containing protein os=haemonchus contortus gn=hcoi_00042700 pe=4 sv=1	408	20	0.0E0	75.85%										
comp10072_c0_seq1|m.11468	tr:u6njr7_haecou6njr7 mif4g domain containing protein os=haemonchus contortus gn=hcoi_01653800 pe=4 sv=1	1197	20	0.0E0	64.35%										
comp10072_c0_seq2|m.11473	tr:u6njr7_haecou6njr7 mif4g domain containing protein os=haemonchus contortus gn=hcoi_01653800 pe=4 sv=1	1180	20	0.0E0	64.4%										
comp10073_c0_seq1|m.11478	tr:u6nqh3_haecou6nqh3 alpha beta hydrolase fold-1 domain containing protein os=haemonchus contortus gn=hcoi_00447400 pe=4 sv=1	377	20	0.0E0	76.25%										
comp10075_c0_seq1|m.11481	tr:u6pq61_haecou6pq61 loc100124805 protein os=haemonchus contortus gn=hcoi_01709300 pe=4 sv=1	109	11	3.0E-26	65.91%										
comp10076_c0_seq1|m.11483	tr:a0a016rs51_9bilaa0a016rs51 eukaryotic initiation factor 4e os=ancylostoma ceylanicum gn= pe=3 sv=1	208	20	1.5E-100	87.45%										
comp10076_c0_seq2|m.11484	tr:a0a016rs51_9bilaa0a016rs51 eukaryotic initiation factor 4e os=ancylostoma ceylanicum gn= pe=3 sv=1	200	20	1.9E-100	87.5%										
comp10077_c0_seq1|m.11485	tr:u6pqc4_haecou6pqc4 emp24 gp25l p24 domain containing protein os=haemonchus contortus gn=hcoi_01803500 pe=3 sv=1	207	20	3.9E-120	86.75%										
comp10078_c0_seq1|m.11486	tr:u6ny09_haecou6ny09 seven in absentia protein domain containing protein os=haemonchus contortus gn=hcoi_00480100 pe=4 sv=1	219	10	9.8E-72	77.5%										
comp10078_c0_seq2|m.11487	tr:u6ny09_haecou6ny09 seven in absentia protein domain containing protein os=haemonchus contortus gn=hcoi_00480100 pe=4 sv=1	226	10	6.6E-78	80.1%										
comp10079_c0_seq1|m.11490	tr:a0a0d8y1a5_dicvia0a0d8y1a5 ras family protein os=dictyocaulus viviparus gn=dicviv_04072 pe=4 sv=1	199	20	9.0E-110	90.05%										
comp10080_c0_seq2|m.11493	tr:a0a0d8xxx2_dicvia0a0d8xxx2 major facilitator family protein os=dictyocaulus viviparus gn=dicviv_06702 pe=4 sv=1	551	20	0.0E0	78.1%										
comp10081_c0_seq1|m.11496	tr:a0a016tui5_9bilaa0a016tui5 phosphoinositide phospholipase c os=ancylostoma ceylanicum gn= pe=4 sv=1	217	20	8.0E-53	60.7%										
comp10081_c0_seq2|m.11497	tr:a0a016tvm0_9bilaa0a016tvm0 phosphoinositide phospholipase c os=ancylostoma ceylanicum gn= pe=4 sv=1	121	19	4.4E-12	55.47%										
comp10081_c0_seq3|m.11498	tr:a0a016tvm0_9bilaa0a016tvm0 phosphoinositide phospholipase c os=ancylostoma ceylanicum gn= pe=4 sv=1	126	20	8.1E-34	72%										
comp10082_c0_seq1|m.11499	tr:u6pr46_haecou6pr46 uncharacterised protein family upf0139 domain containing protein os=haemonchus contortus gn=hcoi_01392600 pe=4 sv=1	109	20	6.2E-54	88.35%										
comp10082_c0_seq2|m.11501	tr:u6pr46_haecou6pr46 uncharacterised protein family upf0139 domain containing protein os=haemonchus contortus gn=hcoi_01392600 pe=4 sv=1	121	20	1.0E-43	87.9%										
comp10082_c0_seq2|m.11500	---NA---	130	0	-	-										
comp10083_c0_seq1|m.11502	tr:u6nww6_haecou6nww6 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2004 os=haemonchus contortus gn=hcoi_00664900 pe=4 sv=1	206	7	1.6E-85	67.43%										
comp10083_c0_seq2|m.11503	tr:u6nww6_haecou6nww6 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2004 os=haemonchus contortus gn=hcoi_00664900 pe=4 sv=1	180	7	3.0E-55	71.14%										
comp10084_c0_seq1|m.11504	tr:u6pyi8_haecou6pyi8 amino acid transporter domain containing protein os=haemonchus contortus gn=hcoi_02177500 pe=4 sv=1	484	20	1.5E-147	67.45%										
comp10085_c0_seq1|m.11505	tr:a0a0d8y7p7_dicvia0a0d8y7p7 wd g-beta repeat protein os=dictyocaulus viviparus gn=dicviv_01825 pe=4 sv=1	211	20	9.9E-98	76.95%										
comp10086_c0_seq1|m.11510	tr:a0a016uh16_9bilaa0a016uh16 hexokinase os=ancylostoma ceylanicum gn= pe=3 sv=1	565	20	0.0E0	83.4%										
comp10087_c0_seq1|m.11512	tr:u6p6e5_haecou6p6e5 atpase inhibitor domain containing protein os=haemonchus contortus gn=hcoi_00922200 pe=4 sv=1	109	20	4.8E-33	81.65%										
comp10088_c0_seq1|m.11513	tr:a0a0b1td35_oesdea0a0b1td35 k167r repeat protein os=oesophagostomum dentatum gn=oesden_06345 pe=4 sv=1	345	11	4.2E-66	56.18%										
comp10088_c0_seq2|m.11514	tr:a0a0b1td35_oesdea0a0b1td35 k167r repeat protein os=oesophagostomum dentatum gn=oesden_06345 pe=4 sv=1	262	11	2.7E-48	58.09%										
comp10090_c0_seq1|m.11516	tr:w2tbh3_necamw2tbh3 rna polymerase rpb4 os=necator americanus gn=necame_10280 pe=4 sv=1	107	6	2.8E-9	75.5%										
comp10090_c0_seq2|m.11517	tr:w2tbh3_necamw2tbh3 rna polymerase rpb4 os=necator americanus gn=necame_10280 pe=4 sv=1	103	6	2.7E-9	75.5%										
comp10091_c0_seq1|m.11518	tr:u6pnt7_haecou6pnt7 rna recognition motif domain containing protein os=haemonchus contortus gn=hcoi_01495300 pe=4 sv=1	171	20	4.4E-87	73.1%										
comp10091_c0_seq2|m.11521	tr:u6pnt7_haecou6pnt7 rna recognition motif domain containing protein os=haemonchus contortus gn=hcoi_01495300 pe=4 sv=1	112	20	3.7E-41	88.2%										
comp10093_c0_seq1|m.11522	tr:a0a0b1t7b1_oesdea0a0b1t7b1 prp18 domain protein os=oesophagostomum dentatum gn=oesden_08084 pe=3 sv=1	304	20	3.0E-151	80.65%										
comp10094_c0_seq2|m.11524	tr:u6nli5_haecou6nli5 serine threonine protein kinase-related domain containing protein os=haemonchus contortus gn=hcoi_00112900 pe=4 sv=1	342	20	0.0E0	86.95%										
comp10097_c1_seq1|m.11527	tr:a0a0d6lir3_9bilaa0a0d6lir3 tsc-22 dip bun family protein os=ancylostoma ceylanicum gn=anccey_09024 pe=4 sv=1	167	20	1.9E-74	78.55%										
comp10099_c0_seq1|m.11528	tr:u6piy5_haecou6piy5 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_4301 os=haemonchus contortus gn=hcoi_01383400 pe=4 sv=1	232	8	5.4E-38	62.38%										
comp10099_c0_seq2|m.11530	tr:u6piy5_haecou6piy5 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_4301 os=haemonchus contortus gn=hcoi_01383400 pe=4 sv=1	143	3	7.6E-13	54.33%										
comp10099_c0_seq3|m.11531	tr:u6piy5_haecou6piy5 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_4301 os=haemonchus contortus gn=hcoi_01383400 pe=4 sv=1	168	7	2.7E-27	63.29%										
comp10101_c0_seq1|m.11535	tr:u6pkl4_haecou6pkl4 dna topoisomerase i domain containing protein os=haemonchus contortus gn=hcoi_01503400 pe=4 sv=1	725	20	0.0E0	83.35%										
comp10101_c0_seq1|m.11536	---NA---	107	0	-	-										
comp10101_c0_seq2|m.11538	tr:u6pkl4_haecou6pkl4 dna topoisomerase i domain containing protein os=haemonchus contortus gn=hcoi_01503400 pe=4 sv=1	124	8	2.9E-35	78.25%										
comp10101_c0_seq3|m.11539	tr:u6pkl4_haecou6pkl4 dna topoisomerase i domain containing protein os=haemonchus contortus gn=hcoi_01503400 pe=4 sv=1	788	20	0.0E0	86.65%										
comp10102_c0_seq1|m.11541	tr:u6ngs2_haecou6ngs2 phosphofurin acidic cluster sorting protein 1 domain containing protein os=haemonchus contortus gn=hcoi_00221700 pe=4 sv=1	816	20	0.0E0	67%										
comp10104_c0_seq2|m.11544	tr:u6pn38_haecou6pn38 arf sar superfamily domain containing protein os=haemonchus contortus gn=hcoi_01449400 pe=3 sv=1	180	20	9.2E-103	98.55%										
comp10105_c0_seq1|m.11545	tr:u6pdb2_haecou6pdb2 serine threonine protein kinase-related domain containing protein os=haemonchus contortus gn=hcoi_01067300 pe=4 sv=1	617	20	5.9E-155	58.65%										
comp10105_c0_seq1|m.11546	---NA---	143	0	-	-										
comp10105_c0_seq2|m.11547	tr:u6pdb2_haecou6pdb2 serine threonine protein kinase-related domain containing protein os=haemonchus contortus gn=hcoi_01067300 pe=4 sv=1	490	20	1.4E-89	58.8%										
comp10107_c0_seq1|m.11551	tr:u6ngz1_haecou6ngz1 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_1105 os=haemonchus contortus gn=hcoi_00132600 pe=4 sv=1	181	9	9.2E-37	63%										
comp10108_c0_seq1|m.11552	tr:u6pyc7_haecou6pyc7 clathrin adaptor and origin recognition complex subunit 2 domain containing protein os=haemonchus contortus gn=hcoi_02149200 pe=4 sv=1	198	20	2.7E-101	93.8%										
comp10109_c0_seq1|m.11553	tr:a0a0d8xuj4_dicvia0a0d8xuj4 regulator of g protein signaling domain protein os=dictyocaulus viviparus gn=dicviv_05635 pe=4 sv=1	550	20	0.0E0	75.05%										
comp10111_c0_seq1|m.11559	tr:u6pb65_haecou6pb65 mitogen-activated protein kinase os=haemonchus contortus gn=hcoi_01144900 pe=3 sv=1	465	20	0.0E0	87.25%										
comp10111_c0_seq2|m.11560	tr:u6pb65_haecou6pb65 mitogen-activated protein kinase os=haemonchus contortus gn=hcoi_01144900 pe=3 sv=1	357	20	0.0E0	86.6%										
comp10112_c0_seq1|m.11561	tr:w6nx23_haecow6nx23 ell-associated factor domain containing protein os=haemonchus contortus gn=hcoi_00930900 pe=4 sv=1	260	20	3.7E-95	78.45%										
comp10113_c0_seq1|m.11562	tr:a0a0d6lp81_9bilaa0a0d6lp81 adenylyl cyclase os=ancylostoma ceylanicum gn=anccey_07882 pe=4 sv=1	236	20	2.6E-98	67.9%										
comp10114_c0_seq1|m.11568	---NA---	100	0	-	-										
comp10114_c0_seq1|m.11563	tr:a0a0c2gb56_9bilaa0a0c2gb56 notch domain protein os=ancylostoma duodenale gn=ancduo_13684 pe=4 sv=1	644	20	0.0E0	60.35%										
comp10114_c0_seq1|m.11567	---NA---	112	0	-	-										
comp10114_c0_seq1|m.11564	tr:u6pk44_haecou6pk44 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_452 os=haemonchus contortus gn=hcoi_01593700 pe=4 sv=1	245	20	9.8E-71	52.25%										
comp10114_c0_seq2|m.11569	tr:u6pk44_haecou6pk44 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_452 os=haemonchus contortus gn=hcoi_01593700 pe=4 sv=1	935	20	0.0E0	56.85%										
comp10116_c0_seq1|m.11575	tr:u6nu68_haecou6nu68 c2 calcium-dependent membrane targeting domain containing protein os=haemonchus contortus gn=hcoi_02103000 pe=4 sv=1	438	20	3.9E-115	66.25%										
comp10116_c0_seq4|m.11578	tr:u6nu68_haecou6nu68 c2 calcium-dependent membrane targeting domain containing protein os=haemonchus contortus gn=hcoi_02103000 pe=4 sv=1	410	20	4.0E-115	66.7%										
comp10117_c0_seq2|m.11579	tr:a0a016wkf4_9bilaa0a016wkf4 e3 ubiquitin-protein ligase os=ancylostoma ceylanicum gn= pe=3 sv=1	362	20	0.0E0	87.6%										
comp10118_c0_seq1|m.11581	tr:u6p736_haecou6p736 ras domain containing protein os=haemonchus contortus gn=hcoi_01049700 pe=3 sv=1	211	20	1.7E-106	89.8%										
comp10118_c0_seq2|m.11582	tr:w2spm4_necamw2spm4 ras family protein os=necator americanus gn=necame_04637 pe=3 sv=1	127	20	1.4E-54	96.15%										
comp10120_c0_seq1|m.11585	---NA---	153	0	-	-										
comp10120_c0_seq1|m.11584	tr:c7bvm0_angcac7bvm0 transcription factor yin yang 2 os=angiostrongylus cantonensis gn=yy2-1 pe=2 sv=1	405	20	0.0E0	64.5%										
comp10121_c0_seq1|m.11586	tr:u6p220_haecou6p220 ww rsp5 wwp and unconventional myosin plant kinesin protein non-motor protein conserved region 4 and domain containing protein os=haemonchus contortus gn=hcoi_00896200 pe=4 sv=1	565	20	0.0E0	75.65%										
