SeqName: ORFS:ptns	Description hits againt uniruniref100	Length	#Hits	e-Value	sim mean										
comp10009_c0_seq1|m.11344	uniref100_u6plc4 double-stranded rna binding domain containing protein n=1 tax=haemonchus contortus =u6plc4_haeco	351	20	3.2E-106	56.7%										
comp10010_c0_seq1|m.11346	uniref100_a0a0d8xvh4 60s ribosomal protein l36 n=1 tax=dictyocaulus viviparus =a0a0d8xvh4_dicvi	280	20	3.0E-110	66.7%										
comp10010_c0_seq2|m.11348	uniref100_a0a0d8xvh460s ribosomal protein l36 n=1 tax=dictyocaulus viviparus =a0a0d8xvh4_dicvi	319	20	5.4E-145	62.7%										
comp10014_c0_seq2|m.11354	uniref100_u6nr73 acyl- thioesterase domain containing protein n=1 tax=haemonchus contortus =u6nr73_haeco	372	20	6.2E-179	81.3%										
comp10017_c0_seq1|m.11356	uniref100_u6nnm3 tetratricopeptide tpr-1 and sel1 and tetratricopeptide tpr2 domain containing protein n=1 tax=haemonchus contortus =u6nnm3_haeco	339	20	0.0E0	85.25%										
comp10017_c0_seq2|m.11358	uniref100_u6nnm3 tetratricopeptide tpr-1 and sel1 and tetratricopeptide tpr2 domain containing protein n=1 tax=haemonchus contortus =u6nnm3_haeco	1127	20	0.0E0	78.35%										
comp10017_c0_seq3|m.11363	uncharacterised protein Angiostrongylus cantonensis	106	0	-	-										
comp10017_c0_seq3|m.11362	uniref100_a0a0c2d3j6 atp synthase epsilon subunit n=1 tax=ancylostoma duodenale =a0a0c2d3j6_9bila	202	18	9.4E-69	64.06%										
comp10018_c0_seq3|m.11366	uniref100_a0a0d8xjr3 surf1 family protein n=1 tax=dictyocaulus viviparus =a0a0d8xjr3_dicvi	408	20	1.8E-137	62.85%										
comp10018_c0_seq4|m.11367	uniref100_a0a0d8xjr3 surf1 family protein n=1 tax=dictyocaulus viviparus =a0a0d8xjr3_dicvi	392	20	3.6E-134	63.7%										
comp10019_c0_seq1|m.11369	uniref100_upi0006236258 mucin-19-like n=1 tax=linepithema humile =upi0006236258	175	20	8.1E-10	50.1%										
comp10019_c0_seq2|m.11371	uniref100_c7bvp6  alpha-collagen n=1 tax=angiostrongylus cantonensis =c7bvp6_angca	247	20	1.5E-60	72.7%										
comp10021_c0_seq1|m.11375	uniref100_u6pqh3 ribosomal protein l9 and ubiquitin interacting motif domain containing protein n=1 tax=haemonchus contortus =u6pqh3_haeco	367	20	3.3E-124	84%										
comp10022_c0_seq1|m.11376	uniref100_u6pmd6 protein rod-1 n=1 tax=haemonchus contortus =u6pmd6_haeco	1507	20	0.0E0	55.8%										
comp10022_c0_seq2|m.11377	uniref100_u6pmd6 protein rod-1 n=1 tax=haemonchus contortus =u6pmd6_haeco	1392	20	0.0E0	55.9%										
comp10023_c0_seq1|m.11378	t1 family n=1 tax=dictyocaulus viviparus =a0a0d8xr01_dicvi	230	20	3.5E-125	85.25%										
comp10026_c0_seq1|m.11382	uniref100_u6p9f6 transcription factor cbf nf-y archaeal histone domain containing protein n=2 tax=haemonchus contortus =u6p9f6_haeco	165	20	1.9E-85	81.35%										
comp10029_c0_seq1|m.11385	uniref100_u6pcv3 3 -5 exonuclease and helicase rnase d c-terminal domain containing protein n=1 tax=haemonchus contortus =u6pcv3_haeco	878	20	0.0E0	60.35%										
comp10031_c0_seq1|m.11387	briggsae cbr-pqn-20 protein n=1 tax=haemonchus contortus =u6nqv1_haeco	561	12	3.9E-134	68%										
comp10032_c0_seq1|m.11389	uniref100_u6pdy6 eukaryotic translation initiation factor 3 subunit c n=1 tax=haemonchus contortus =u6pdy6_haeco	915	20	0.0E0	82.3%										
comp10033_c0_seq1|m.11391	uniref100_u6nq80 protein npp- isoform b n=1 tax=haemonchus contortus =u6nq80_haeco	365	20	4.1E-132	65%										
comp10033_c0_seq2|m.11392	uniref100_u6nq80 protein npp- isoform b n=1 tax=haemonchus contortus =u6nq80_haeco	564	20	0.0E0	63.05%										
comp10034_c0_seq1|m.11394	uniref100_u6pha2 succinate dehydrogenase	444	20	0.0E0	65.9%										
comp10035_c0_seq2|m.11396	uniref100_a0a0c2 guh7 hect-domain protein n=1 tax=ancylostoma duodenale =a0a0c2guh7_9bila	233	20	1.0E-77	67.35%										
comp10035_c0_seq3|m.11397	uniref100_w2sn99 transcription factor btf3 n=1 tax=necator americanus =w2sn99_necam	176	20	7.3E-44	71.25%										
comp10036_c0_seq2|m.11398	uniref100_a0a016sei2 ubiquitin carboxyl-terminal hydrolase n=3 tax=ancylostomatidae =a0a016sei2_9bila	481	20	0.0E0	68.75%										
comp10037_c0_seq1|m.11399	uniref100_u6p0d0 receptor protein serine threonine kinase n=1 tax=haemonchus contortus =u6p0d0_haeco	639	20	0.0E0	72.65%										
comp10038_c0_seq2|m.11401	uniref100_u6pe92 transcription factor jumonji domain containing protein n=1 tax=haemonchus contortus =u6pe92_haeco	490	20	0.0E0	72.15%										
comp10038_c0_seq2|m.11404	---NA---	123	0	-	-										
comp10040_c0_seq1|m.11406	uniref100_a0a0d8y2i9 flavoprotein n=1 tax=dictyocaulus viviparus =a0a0d8y2i9_dicvi	252	20	1.8E-118	79.75%										
comp10040_c0_seq2|m.11407	uniref100_u6nvi0 flavoprotein domain containing protein n=1 tax=haemonchus contortus =u6nvi0_haeco	228	20	5.9E-114	81.75%										
comp10042_c0_seq2|m.11408	---NA---	125	0	-	-										
comp10043_c0_seq1|m.11409	uniref100_w6ndd3 peptidase s1 s6 domain containing protein n=1 tax=haemonchus contortus =w6ndd3_haeco	375	20	2.3E-83	56.85%										
comp10044_c0_seq1|m.11412	---NA---	116	0	-	-										
comp10044_c0_seq1|m.11413	---NA---	110	0	-	-										
comp10044_c0_seq1|m.11410	t1 family n=1 tax=necator americanus =w2ts02_necam	634	20	0.0E0	67.15%										
comp10044_c0_seq2|m.11414	t1 family n=1 tax=necator americanus =w2ts02_necam	260	20	3.9E-140	75.15%										
comp10044_c0_seq3|m.11415	t1 family n=1 tax=necator americanus =w2ts02_necam	653	20	0.0E0	67.1%										
comp10045_c0_seq1|m.11419	uniref100_u6q0f9 mrg domain containing protein n=2 tax=haemonchus contortus =u6q0f9_haeco	377	20	2.3E-174	69%										
comp10046_c0_seq1|m.11420	uniref100_u6p4c9 protein n=1 tax=haemonchus contortus =u6p4c9_haeco	900	20	0.0E0	80.25%										
comp10046_c0_seq1|m.11421	---NA---	131	0	-	-										
comp10046_c0_seq2|m.11422	uniref100_u6p4c9 protein n=1 tax=haemonchus contortus =u6p4c9_haeco	245	20	1.8E-94	64.7%										
comp10047_c0_seq1|m.11424	uniref100_a0a0d8xzr1 synaptophysin synaptoporin n=1 tax=dictyocaulus viviparus =a0a0d8xzr1_dicvi	229	20	2.5E-97	76.7%										
comp10050_c0_seq1|m.11425	uniref100_a0a0d8y950 guanylate-binding protein n=1 tax=dictyocaulus viviparus =a0a0d8y950_dicvi	125	20	5.6E-51	75.2%										
comp10051_c0_seq1|m.11427	uniref100_u6p2h9 protein n=1 tax=haemonchus contortus =u6p2h9_haeco	309	20	9.1E-168	86.65%										
comp10052_c0_seq1|m.11431	uniref100_w2t2q6 nadh-cytochrome b5 reductase n=1 tax=necator americanus =w2t2q6_necam	316	20	3.3E-137	80.6%										
comp10054_c0_seq1|m.11432	uniref100_a0a0d8 xp53cs domain protein n=1 tax=dictyocaulus viviparus =a0a0d8xp53_dicvi	223	20	6.4E-95	67.6%										
comp10055_c0_seq2|m.11434	uniref100_u6nsw5 nin one binding zn-ribbon like domain containing protein n=1 tax=haemonchus contortus =u6nsw5_haeco	399	20	1.4E-145	68.65%										
comp10056_c0_seq1|m.11435	uniref100_w6nc91 zinc finger domain containing protein n=1 tax=haemonchus contortus =w6nc91_haeco	737	20	0.0E0	58.7%										
comp10057_c0_seq1|m.11437	uniref100_a0a0d8 xgb4cullin family protein n=1 tax=dictyocaulus viviparus =a0a0d8xgb4_dicvi	773	20	0.0E0	78.45%										
comp10059_c0_seq1|m.11439	uniref100_u6pnk1 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_6326 n=1 tax=haemonchus contortus =u6pnk1_haeco	212	16	3.4E-47	54.5%										
comp10059_c0_seq2|m.11440	uniref100_u6pnk1 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_6326 n=1 tax=haemonchus contortus =u6pnk1_haeco	150	13	5.8E-29	56.54%										
comp10059_c0_seq3|m.11441	uniref100_u6pnk1 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_6326 n=1 tax=haemonchus contortus =u6pnk1_haeco	112	12	5.0E-20	63.33%										
comp10060_c0_seq1|m.11442	uniref100_a0a0d8 x7s9bromodomain protein n=1 tax=dictyocaulus viviparus =a0a0d8x7s9_dicvi	603	20	0.0E0	70.05%										
comp10061_c0_seq2|m.11443	uniref100_w2t475 vma21-like domain protein n=1 tax=necator americanus =w2t475_necam	376	20	1.1E-149	68.75%										
comp10062_c0_seq1|m.11444	uniref100_u6nps2 cation efflux protein domain containing protein n=1 tax=haemonchus contortus =u6nps2_haeco	484	20	0.0E0	66.5%										
comp10062_c0_seq2|m.11445	uniref100_u6pek7 cation efflux protein domain containing protein n=1 tax=haemonchus contortus =u6pek7_haeco	473	20	3.6E-178	67.35%										
comp10064_c0_seq1|m.11448	uniref100_q9u2y2 cdk5rap3-like protein n=1 tax=caenorhabditis elegans =ck5p3_caeel	491	20	0.0E0	74.85%										
comp10065_c0_seq1|m.11450	uniref100_w2tl94 saccharopine dehydrogenase n=1 tax=necator americanus =w2tl94_necam	936	20	0.0E0	81.95%										
comp10066_c0_seq1|m.11453	---NA---	112	0	-	-										
comp10066_c0_seq1|m.11452	uniref100_a0a016 tae0sodium hydrogen exchanger n=1 tax=ancylostoma ceylanicum =a0a016tae0_9bila	230	20	3.8E-93	85.45%										
comp10066_c0_seq2|m.11454	uniref100_u6pbr4 sodium hydrogen exchanger n=1 tax=haemonchus contortus =u6pbr4_haeco	322	20	1.5E-150	81%										
comp10066_c0_seq3|m.11456	uniref100_a0a016 ta79sodium hydrogen exchanger n=1 tax=ancylostoma ceylanicum =a0a016ta79_9bila	637	20	0.0E0	82.05%										
comp10067_c0_seq2|m.11460	uniref100_u6pd39 ino80 complex subunit e n=1 tax=haemonchus contortus =u6pd39_haeco	877	20	0.0E0	75.35%										
comp10068_c0_seq1|m.11462	uniref100_w6nfs7 wgs project cavp0000000 strain ise inbred contig hcontortus_contig_pathogens_hcontortus_scaffold_6503 n=1 tax=haemonchus contortus =w6nfs7_haeco	693	20	0.0E0	59.4%										
comp10069_c0_seq2|m.11464	uniref100_c7bvm9 ribosomal protein l19 n=1 tax=angiostrongylus cantonensis =c7bvm9_angca	217	20	1.0E-106	91.3%										
comp10070_c0_seq1|m.11465	uniref100_u6pma8 bacterial fmu eukaryotic nucleolar nol1 nop2p domain containing protein n=1 tax=haemonchus contortus =u6pma8_haeco	691	20	0.0E0	74.15%										
comp10070_c0_seq2|m.11466	uniref100_u6pma8 bacterial fmu eukaryotic nucleolar nol1 nop2p domain containing protein n=1 tax=haemonchus contortus =u6pma8_haeco	408	20	0.0E0	75.8%										
comp10072_c0_seq1|m.11468	uniref100_u6njr7 mif4g domain containing protein n=1 tax=haemonchus contortus =u6njr7_haeco	1197	20	0.0E0	62.1%										
comp10072_c0_seq2|m.11473	uniref100_u6njr7 mif4g domain containing protein n=1 tax=haemonchus contortus =u6njr7_haeco	1180	20	0.0E0	61.95%										
comp10073_c0_seq1|m.11478	uniref100_u6nqh3 alpha beta hydrolase fold-1 domain containing protein n=1 tax=haemonchus contortus =u6nqh3_haeco	377	20	0.0E0	73.6%										
comp10075_c0_seq1|m.11481	uniref100_u6pq61 loc100124805 protein n=1 tax=haemonchus contortus =u6pq61_haeco	109	8	3.6E-24	64.88%										
comp10076_c0_seq1|m.11483	uniref100_a0a016 rs51eukaryotic initiation factor 4e n=2 tax=ancylostoma ceylanicum =a0a016rs51_9bila	208	20	1.1E-98	82.2%										
comp10076_c0_seq2|m.11484	uniref100_a0a016 rs51eukaryotic initiation factor 4e n=2 tax=ancylostoma ceylanicum =a0a016rs51_9bila	200	20	1.4E-98	82.05%										
comp10077_c0_seq1|m.11485	uniref100_u6pqc4 emp24 gp25l p24 domain containing protein n=2 tax=haemonchus contortus =u6pqc4_haeco	207	20	2.2E-105	83.95%										
comp10078_c0_seq1|m.11486	uniref100_u6ny09 seven in absentia protein domain containing protein n=1 tax=haemonchus contortus =u6ny09_haeco	219	9	7.3E-70	78.44%										
comp10078_c0_seq2|m.11487	uniref100_u6ny09 seven in absentia protein domain containing protein n=1 tax=haemonchus contortus =u6ny09_haeco	226	9	5.1E-76	81.33%										
comp10079_c0_seq1|m.11490	uniref100_a0a0d8 y1a5ras family protein n=1 tax=dictyocaulus viviparus =a0a0d8y1a5_dicvi	199	20	6.2E-108	88.85%										
comp10080_c0_seq2|m.11493	major facilitator family protein n=1 tax=dictyocaulus viviparus =a0a0d8xxx2_dicvi	551	20	0.0E0	76.85%										
comp10081_c0_seq1|m.11496	uniref100_a0a016 tui5phosphoinositide phospholipase c n=1 tax=ancylostoma ceylanicum =a0a016tui5_9bila	217	20	6.0E-51	61.5%										
comp10081_c0_seq2|m.11497	uniref100_a0a016 tvm0phosphoinositide phospholipase c n=1 tax=ancylostoma ceylanicum =a0a016tvm0_9bila	121	17	5.2E-10	56.06%										
comp10081_c0_seq3|m.11498	uniref100_a0a016tui5 phosphoinositide phospholipase c n=1 tax=ancylostoma ceylanicum =a0a016tui5_9bila	126	20	9.4E-32	72.45%										
comp10082_c0_seq1|m.11499	uniref100_u6pr46 uncharacterised protein family upf0139 domain containing protein n=1 tax=haemonchus contortus =u6pr46_haeco	109	20	7.4E-52	86.45%										
comp10082_c0_seq2|m.11501	uniref100_u6pr46 uncharacterised protein family upf0139 domain containing protein n=1 tax=haemonchus contortus =u6pr46_haeco	121	20	1.2E-38	85.95%										
comp10082_c0_seq2|m.11500	---NA---	130	0	-	-										
comp10083_c0_seq1|m.11502	uniref100_u6nww6 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2004 n=1 tax=haemonchus contortus =u6nww6_haeco	206	6	1.1E-40	65.5%										
comp10083_c0_seq2|m.11503	uniref100_u6nww6 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2004 n=1 tax=haemonchus contortus =u6nww6_haeco	180	6	5.2E-28	66.33%										
comp10084_c0_seq1|m.11504	uniref100_u6pyi8 amino acid transporter domain containing protein n=1 tax=haemonchus contortus =u6pyi8_haeco	484	20	1.4E-145	67.35%										
comp10085_c0_seq1|m.11505	uniref100_a0a0d8y7p7 wd g-beta repeat protein n=1 tax=dictyocaulus viviparus =a0a0d8y7p7_dicvi	211	20	7.3E-96	77.6%										
comp10086_c0_seq1|m.11510	uniref100_a0a016uh16 hexokinase n=2 tax=ancylostoma ceylanicum =a0a016uh16_9bila	565	20	0.0E0	83.75%										
comp10087_c0_seq1|m.11512	uniref100_u6p6e5 atpase inhibitor domain containing protein n=1 tax=haemonchus contortus =u6p6e5_haeco	109	20	5.7E-31	83.1%										
comp10088_c0_seq1|m.11513	uniref100_a0a0b1td35 k167r repeat protein n=1 tax=oesophagostomum dentatum =a0a0b1td35_oesde	345	9	3.8E-64	56%										
comp10088_c0_seq2|m.11514	uniref100_a0a0b1td35 k167r repeat protein n=1 tax=oesophagostomum dentatum =a0a0b1td35_oesde	262	9	2.2E-46	58.33%										
comp10090_c0_seq1|m.11516	uniref100_w2tbh3 rna polymerase rpb4 n=1 tax=necator americanus =w2tbh3_necam	107	5	3.2E-7	76.2%										
comp10090_c0_seq2|m.11517	uniref100_w2tbh3 rna polymerase rpb4 n=1 tax=necator americanus =w2tbh3_necam	103	5	3.2E-7	76.2%										
comp10091_c0_seq1|m.11518	uniref100_u6pnt7 rna recognition motif domain containing protein n=1 tax=haemonchus contortus =u6pnt7_haeco	171	20	2.5E-78	71.9%										
comp10091_c0_seq2|m.11521	uniref100_u6pnt7 rna recognition motif domain containing protein n=1 tax=haemonchus contortus =u6pnt7_haeco	112	20	4.4E-39	91%										
comp10093_c0_seq1|m.11522	uniref100_a0a0b1t7b1 prp18 domain protein n=1 tax=oesophagostomum dentatum =a0a0b1t7b1_oesde	304	20	2.6E-149	80.25%										
comp10094_c0_seq2|m.11524	uniref100_u6nli5 serine threonine protein kinase-related domain containing protein n=1 tax=haemonchus contortus =u6nli5_haeco	342	20	0.0E0	86.1%										
comp10097_c1_seq1|m.11527	uniref100_a0a0d6lir3 tsc-22 dip bun family protein n=1 tax=ancylostoma ceylanicum =a0a0d6lir3_9bila	167	20	1.4E-72	78.05%										
comp10099_c0_seq1|m.11528	uniref100_u6piy5 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_4301 n=1 tax=haemonchus contortus =u6piy5_haeco	232	7	4.2E-36	63.57%										
comp10099_c0_seq2|m.11530	uniref100_u6piy5 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_4301 n=1 tax=haemonchus contortus =u6piy5_haeco	143	3	8.6E-11	54.33%										
comp10099_c0_seq3|m.11531	uniref100_u6piy5 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_4301 n=1 tax=haemonchus contortus =u6piy5_haeco	168	6	1.9E-25	64.83%										
comp10101_c0_seq1|m.11535	uniref100_u6pkl4 dna topoisomerase i domain containing protein n=1 tax=haemonchus contortus =u6pkl4_haeco	725	20	0.0E0	82.85%										
comp10101_c0_seq1|m.11536	---NA---	107	0	-	-										
comp10101_c0_seq2|m.11538	uniref100_u6pkl4 dna topoisomerase i domain containing protein n=1 tax=haemonchus contortus =u6pkl4_haeco	124	7	1.6E-30	75.14%										
comp10101_c0_seq3|m.11539	uniref100_u6pkl4 dna topoisomerase i domain containing protein n=1 tax=haemonchus contortus =u6pkl4_haeco	788	20	0.0E0	85.8%										
comp10102_c0_seq1|m.11541	uniref100_u6ngs2 phosphofurin acidic cluster sorting protein 1 domain containing protein n=1 tax=haemonchus contortus =u6ngs2_haeco	816	20	0.0E0	65.45%										
comp10104_c0_seq2|m.11544	uniref100_a8xrf4 protein cbr-arf-3 n=3 tax=caenorhabditis =a8xrf4_caebr	180	20	5.6E-101	96.7%										
comp10105_c0_seq1|m.11545	uniref100_u6pdb2 serine threonine protein kinase-related domain containing protein n=1 tax=haemonchus contortus =u6pdb2_haeco	617	20	5.8E-153	58.55%										
comp10105_c0_seq1|m.11546	---NA---	143	0	-	-										
comp10105_c0_seq2|m.11547	uniref100_u6pdb2 serine threonine protein kinase-related domain containing protein n=1 tax=haemonchus contortus =u6pdb2_haeco	490	20	1.4E-87	58.8%										
comp10107_c0_seq1|m.11551	uniref100_u6ngz1 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_1105 n=1 tax=haemonchus contortus =u6ngz1_haeco	181	6	1.3E-24	66.33%										
comp10108_c0_seq1|m.11552	uniref100_u6pyc7 clathrin adaptor and origin recognition complex subunit 2 domain containing protein n=1 tax=haemonchus contortus =u6pyc7_haeco	198	20	1.8E-99	91.65%										
comp10109_c0_seq1|m.11553	uniref100_a0a0d8 xuj4regulator of g protein signaling domain protein n=1 tax=dictyocaulus viviparus =a0a0d8xuj4_dicvi	550	20	0.0E0	71.75%										
comp10111_c0_seq1|m.11559	uniref100_u6pb65 mitogen-activated protein kinase n=1 tax=haemonchus contortus =u6pb65_haeco	465	20	0.0E0	90.9%										
comp10111_c0_seq2|m.11560	uniref100_u6pb65 mitogen-activated protein kinase n=1 tax=haemonchus contortus =u6pb65_haeco	357	20	0.0E0	87.8%										
comp10112_c0_seq1|m.11561	uniref100_w6nx23 ell-associated factor domain containing protein n=1 tax=haemonchus contortus =w6nx23_haeco	260	20	3.0E-93	77.7%										
comp10113_c0_seq1|m.11562	uniref100_a0a0d6 lp81 adenylyl cyclase n=2 tax=ancylostoma =a0a0d6lp81_9bila	236	20	2.0E-96	64.6%										
comp10114_c0_seq1|m.11568	---NA---	100	0	-	-										
comp10114_c0_seq1|m.11563	uniref100_a0a0c2 gb56notch domain protein n=1 tax=ancylostoma duodenale =a0a0c2gb56_9bila	644	20	0.0E0	59.95%										
comp10114_c0_seq1|m.11567	---NA---	112	0	-	-										
comp10114_c0_seq1|m.11564	uniref100_u6pk44 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_452 n=1 tax=haemonchus contortus =u6pk44_haeco	245	20	7.8E-69	53.9%										
comp10114_c0_seq2|m.11569	uniref100_u6pk44 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_452 n=1 tax=haemonchus contortus =u6pk44_haeco	935	20	0.0E0	57%										
comp10116_c0_seq1|m.11575	uniref100_u6nu68 c2 calcium-dependent membrane targeting domain containing protein n=1 tax=haemonchus contortus =u6nu68_haeco	438	20	3.7E-113	62.75%										
comp10116_c0_seq4|m.11578	uniref100_u6nu68 c2 calcium-dependent membrane targeting domain containing protein n=1 tax=haemonchus contortus =u6nu68_haeco	410	20	3.8E-113	64.25%										
comp10117_c0_seq2|m.11579	uniref100_a0a016wkf4 e3 ubiquitin-protein ligase n=2 tax=strongylida =a0a016wkf4_9bila	362	20	0.0E0	86.75%										
comp10118_c0_seq1|m.11581	uniref100_u6p736 ras domain containing protein n=1 tax=haemonchus contortus =u6p736_haeco	211	20	1.3E-104	87.7%										
comp10118_c0_seq2|m.11582	uniref100_w2spm4 ras family protein n=1 tax=necator americanus =w2spm4_necam	127	20	1.7E-52	95.95%										
comp10120_c0_seq1|m.11585	---NA---	153	0	-	-										
comp10120_c0_seq1|m.11584	uniref100_c7bvm0  transcription factor yin yang 2 n=1 tax=angiostrongylus cantonensis =c7bvm0_angca	405	20	0.0E0	65.85%										
comp10121_c0_seq1|m.11586	uniref100_u6p220 ww rsp5 wwp and unconventional myosin plant kinesin protein non-motor protein conserved region 4 and domain containing protein n=1 tax=haemonchus contortus =u6p220_haeco	565	20	0.0E0	74.85%										
comp10121_c0_seq2|m.11587	uniref100_u6p220 ww rsp5 wwp and unconventional myosin plant kinesin protein non-motor protein conserved region 4 and domain containing protein n=1 tax=haemonchus contortus =u6p220_haeco	614	20	0.0E0	75.3%										
comp10122_c0_seq1|m.11590	---NA---	123	0	-	-										
comp10122_c0_seq1|m.11588	uniref100_a0a0d8 xnm5u2 snrnp auxilliary large splicing factor n=1 tax=dictyocaulus viviparus =a0a0d8xnm5_dicvi	501	20	0.0E0	90.2%										
comp10122_c0_seq2|m.11592	uniref100_a0a0d8 xnm5u2 snrnp auxilliary large splicing factor n=1 tax=dictyocaulus viviparus =a0a0d8xnm5_dicvi	334	20	1.8E-128	89.55%										
comp10123_c0_seq1|m.11597	uniref100_a8x4d7 protein cbg07646 n=1 tax=caenorhabditis briggsae =a8x4d7_caebr	410	20	0.0E0	72.55%										
comp10123_c0_seq2|m.11599	uniref100_a8x4d7 protein cbg07646 n=1 tax=caenorhabditis briggsae =a8x4d7_caebr	414	20	0.0E0	72.95%										
comp10126_c0_seq2|m.11603	uniref100_u6pxs4 vacuolar protein sorting-associated protein 35 domain containing protein n=1 tax=haemonchus contortus =u6pxs4_haeco	805	20	0.0E0	79.85%										
comp10127_c0_seq1|m.11604	uniref100_a0a0d8y2z3 probable cytosolic iron-sulfur protein assembly protein ciao1 homolog n=1 tax=dictyocaulus viviparus =a0a0d8y2z3_dicvi	135	20	1.3E-43	66.65%										
comp10128_c0_seq1|m.11606	uniref100_u1m833 factor viii intron 22 protein n=1 tax=ascaris suum =u1m833_ascsu	330	20	3.5E-130	55.6%										
comp10129_c0_seq1|m.11608	uniref100_u6nsr2 thiamin pyrophosphokinase domain containing protein n=1 tax=haemonchus contortus =u6nsr2_haeco	130	20	3.3E-39	64.5%										
comp10129_c0_seq1|m.11607	uniref100_a0a0d8xt24 thiamine diphosphokinase n=1 tax=dictyocaulus viviparus =a0a0d8xt24_dicvi	142	20	2.0E-52	72.7%										
comp10130_c0_seq1|m.11609	uniref100_a0a0d8 xjp4rft protein n=1 tax=dictyocaulus viviparus =a0a0d8xjp4_dicvi	258	20	1.1E-116	78.85%										
comp10130_c0_seq3|m.11610	uniref100_a0a0d6lz35 rft protein n=1 tax=ancylostoma ceylanicum =a0a0d6lz35_9bila	130	20	6.5E-31	73.6%										
comp10132_c0_seq3|m.11613	uniref100_u6p2v8 protein n=1 tax=haemonchus contortus =u6p2v8_haeco	193	20	3.1E-95	82.7%										
comp10132_c0_seq4|m.11614	uniref100_u6p2v8 protein n=1 tax=haemonchus contortus =u6p2v8_haeco	121	20	4.8E-57	84.15%										
comp10133_c0_seq1|m.11615	uniref100_upi0001d99e3f dhs-27 n=1 tax=caenorhabditis elegans =upi0001d99e3f	318	20	1.0E-124	79.8%										
comp10134_c0_seq1|m.11616	uniref100_u6p7s1 isocitrate dehydrogenase	422	20	0.0E0	91.45%										
comp10135_c0_seq1|m.11617	uniref100_a0a0f5ciy8 ska-1 n=1 tax=pristionchus pacificus =a0a0f5ciy8_pripa	260	20	1.1E-69	56.15%										
comp10138_c0_seq1|m.11618	uniref100_u6pag3 ctf transcription factor nuclear factor 1 and mad homology 1 domain containing protein n=1 tax=haemonchus contortus =u6pag3_haeco	900	20	0.0E0	78.05%										
